country,year,sex,age_group,suicides,pop_age_group,suicides_rate,HDI for year, gdp_for_year,gdp_per_capita,unemployment_rate,terciary_rate
Chile,2010,male,25-54,914,3619594,25.25145085,0.814,2.18538E+11,13874,6.1,67.86343
Chile,2011,female,15-24,69,1388507,4.97,0.821,2.52252E+11,15854,21.1,72.27679
Chile,2011,male,15-24,312,1441346,21.65,0.821,2.52252E+11,15854,15.2,72.27679
Chile,2011,female,25-54,225,3642317,6.177386537,0.821,2.52252E+11,15854,7.4,72.27679
Chile,2011,male,25-54,905,3660174,24.72560048,0.821,2.52252E+11,15854,5,72.27679
Chile,2012,female,15-24,62,1381401,4.49,0.827,2.67122E+11,16617,19.1,75.93107
Chile,2012,male,15-24,242,1435400,16.86,0.827,2.67122E+11,16617,14.3,75.93107
Chile,2012,female,25-54,200,3681221,5.432979981,0.827,2.67122E+11,16617,7,75.93107
Chile,2012,male,25-54,874,3704164,23.5950676,0.827,2.67122E+11,16617,4.4,75.93107
Chile,2013,female,15-24,60,1370723,4.38,0.83,2.78384E+11,17140,19.2,79.95629
Chile,2013,male,15-24,224,1425807,15.71,0.83,2.78384E+11,17140,13.9,79.95629
Chile,2013,female,25-54,182,3720768,4.891463268,0.83,2.78384E+11,17140,5.8,79.95629
Chile,2013,male,25-54,814,3749549,21.70927757,0.83,2.78384E+11,17140,4.5,79.95629
Chile,2014,female,15-24,58,1357865,4.27,0.832,2.60584E+11,15883,19.7,82.84638
Chile,2014,male,15-24,238,1413924,16.83,0.832,2.60584E+11,15883,14.3,82.84638
Chile,2014,female,25-54,187,3757980,4.976077574,0.832,2.60584E+11,15883,5.8,82.84638
Chile,2014,male,25-54,825,3793312,21.74880421,0.832,2.60584E+11,15883,5.3,82.84638
Chile,2015,female,15-24,64,1343941,4.76,,2.43999E+11,14729,18.2,85.26672
Chile,2015,male,15-24,224,1400822,15.99,,2.43999E+11,14729,13.8,85.26672
Chile,2015,female,25-54,202,3791093,5.328278678,,2.43999E+11,14729,6.1,85.26672
Chile,2015,male,25-54,809,3833640,21.10265961,,2.43999E+11,14729,5.3,85.26672
Colombia,2005,female,15-24,225,4108824,5.48,0.679,1.46566E+11,3742,31.2,30.69216
Colombia,2005,male,15-24,517,4209960,12.28,0.679,1.46566E+11,3742,18.5,30.69216
Colombia,2005,female,25-54,180,9035747,1.992087649,0.679,1.46566E+11,3742,12.5,30.69216
Colombia,2005,male,25-54,786,8584226,9.156329295,0.679,1.46566E+11,3742,6.7,30.69216
Colombia,2010,female,15-24,187,4154664,4.5,0.706,2.87018E+11,6836,30.5,39.41332
Colombia,2010,male,15-24,480,4274849,11.23,0.706,2.87018E+11,6836,18.2,39.41332
Colombia,2010,female,25-54,150,9894076,1.5160587,0.706,2.87018E+11,6836,13,39.41332
Colombia,2010,male,25-54,899,9425507,9.537948463,0.706,2.87018E+11,6836,6.7,39.41332
Colombia,2011,female,15-24,159,4147875,3.83,0.713,3.35415E+11,7885,28.9,43.03231
Colombia,2011,male,15-24,450,4268385,10.54,0.713,3.35415E+11,7885,17,43.03231
Colombia,2011,female,25-54,156,10054014,1.551619085,0.713,3.35415E+11,7885,11.9,43.03231
Colombia,2011,male,25-54,880,9586823,9.179266166,0.713,3.35415E+11,7885,5.9,43.03231
Colombia,2012,female,15-24,151,4133625,3.65,0.715,3.6966E+11,8586,27.3,45.3073
Colombia,2012,male,15-24,486,4254495,11.42,0.715,3.6966E+11,8586,15.7,45.3073
Colombia,2012,female,25-54,156,10203638,1.528866469,0.715,3.6966E+11,8586,11.6,45.3073
Colombia,2012,male,25-54,867,9737910,8.903347844,0.715,3.6966E+11,8586,5.9,45.3073
Colombia,2013,female,15-24,141,4114036,3.43,0.718,3.80192E+11,8731,25.4,48.73311
Colombia,2013,male,15-24,450,4235904,10.62,0.718,3.80192E+11,8731,14.6,48.73311
Colombia,2013,female,25-54,182,10343344,1.759585681,0.718,3.80192E+11,8731,10.7,48.73311
Colombia,2013,male,25-54,843,9879131,8.5331392,0.718,3.80192E+11,8731,5.7,48.73311
Colombia,2014,female,15-24,132,4092325,3.23,0.72,3.78196E+11,8591,24.3,51.41638
Colombia,2014,male,15-24,480,4216293,11.38,0.72,3.78196E+11,8591,14.6,51.41638
Colombia,2014,female,25-54,164,10474827,1.565658316,0.72,3.78196E+11,8591,10,51.41638
Colombia,2014,male,25-54,872,10012397,8.709203201,0.72,3.78196E+11,8591,5.2,51.41638
Colombia,2015,female,15-24,176,4070390,4.32,,2.9152E+11,6552,23.8,53.28214
Colombia,2015,male,15-24,473,4197599,11.27,,2.9152E+11,6552,13.2,53.28214
Colombia,2015,female,25-54,207,10598318,1.953140111,,2.9152E+11,6552,10.1,53.28214
Colombia,2015,male,25-54,939,10138195,9.262003739,,2.9152E+11,6552,5.2,53.28214
Costa Rica,2011,female,15-24,20,404197,4.95,0.756,42262697840,9978,29.6,45.81894
Costa Rica,2011,male,15-24,52,419970,12.38,0.756,42262697840,9978,18.1,45.81894
Costa Rica,2011,female,25-54,22,972805,2.261501534,0.756,42262697840,9978,10.2,45.81894
Costa Rica,2011,male,25-54,157,969562,16.19287885,0.756,42262697840,9978,6.7,45.81894
Costa Rica,2012,female,15-24,10,403604,2.48,0.761,46473128286,10832,28.3,48.10857
Costa Rica,2012,male,15-24,58,419511,13.83,0.761,46473128286,10832,19.9,48.10857
Costa Rica,2012,female,25-54,23,989167,2.32518877,0.761,46473128286,10832,9.5,48.10857
Costa Rica,2012,male,25-54,149,986529,15.10345869,0.761,46473128286,10832,6.4,48.10857
Costa Rica,2013,female,15-24,8,402392,1.99,0.764,49745088112,11443,26.9,49.00672
Costa Rica,2013,male,15-24,48,418437,11.47,0.764,49745088112,11443,19.7,49.00672
Costa Rica,2013,female,25-54,24,1005005,2.388047821,0.764,49745088112,11443,8.4,49.00672
Costa Rica,2013,male,25-54,157,1003080,15.65179248,0.764,49745088112,11443,5.8,49.00672
Costa Rica,2014,female,15-24,12,400170,3,0.766,50577769838,11485,31.5,52.23117
Costa Rica,2014,male,15-24,43,416344,10.33,0.766,50577769838,11485,21.4,52.23117
Costa Rica,2014,female,25-54,23,1019655,2.255664906,0.766,50577769838,11485,9,52.23117
Costa Rica,2014,male,25-54,125,1018560,12.27222746,0.766,50577769838,11485,5.1,52.23117
Denmark,2000,female,15-24,9,300690,2.99,0.862,1.64159E+11,32841,6.7,57.21831
Denmark,2000,male,15-24,39,310470,12.56,0.862,1.64159E+11,32841,6.8,57.21831
Denmark,2000,female,25-54,90,1150409,7.823304581,0.862,1.64159E+11,32841,5,57.21831
Denmark,2000,male,25-54,279,1186988,23.50487115,0.862,1.64159E+11,32841,3.5,57.21831
Denmark,2005,female,15-24,7,292929,2.39,0.902,2.64467E+11,51960,8.6,80.37451
Denmark,2005,male,15-24,21,305232,6.88,0.902,2.64467E+11,51960,8.6,80.37451
Denmark,2005,female,25-54,68,1122275,6.059120982,0.902,2.64467E+11,51960,4.5,80.37451
Denmark,2005,male,25-54,211,1145558,18.41897137,0.902,2.64467E+11,51960,3.7,80.37451
Denmark,2010,female,15-24,10,333696,3,0.908,3.21995E+11,61711,11.8,73.59667
Denmark,2010,male,15-24,17,349175,4.87,0.908,3.21995E+11,61711,16.1,73.59667
Denmark,2010,female,25-54,70,1104421,6.338162712,0.908,3.21995E+11,61711,5.9,73.59667
Denmark,2010,male,25-54,185,1121118,16.50138522,0.908,3.21995E+11,61711,7.3,73.59667
Denmark,2011,female,15-24,11,340056,3.23,0.92,3.44003E+11,65598,12.7,76.75835
Denmark,2011,male,15-24,26,356319,7.3,0.92,3.44003E+11,65598,15.7,76.75835
Denmark,2011,female,25-54,62,1102012,5.626073037,0.92,3.44003E+11,65598,6.9,76.75835
Denmark,2011,male,25-54,224,1117770,20.03990087,0.92,3.44003E+11,65598,6.3,76.75835
Denmark,2012,female,15-24,8,346154,2.31,0.921,3.27149E+11,62071,13.5,79.10832
Denmark,2012,male,15-24,33,362466,9.1,0.921,3.27149E+11,62071,14.8,79.10832
Denmark,2012,female,25-54,69,1098923,6.278874862,0.921,3.27149E+11,62071,6.8,79.10832
Denmark,2012,male,25-54,240,1114961,21.52541658,0.921,3.27149E+11,62071,6.6,79.10832
Denmark,2013,female,15-24,12,350607,3.42,0.923,3.43584E+11,64831,11.8,80.93104
Denmark,2013,male,15-24,23,367000,6.27,0.923,3.43584E+11,64831,14.3,80.93104
Denmark,2013,female,25-54,70,1097907,6.375767711,0.923,3.43584E+11,64831,6.9,80.93104
Denmark,2013,male,25-54,207,1113390,18.59186808,0.923,3.43584E+11,64831,5.7,80.93104
Denmark,2014,female,15-24,7,354099,1.98,0.923,3.52994E+11,66114,11.5,81.02908
Denmark,2014,male,15-24,31,370570,8.37,0.923,3.52994E+11,66114,13.7,81.02908
Denmark,2014,female,25-54,66,1100245,5.998663934,0.923,3.52994E+11,66114,6.4,81.02908
Denmark,2014,male,25-54,221,1118012,19.76722969,0.923,3.52994E+11,66114,5.4,81.02908
Denmark,2015,female,15-24,6,356882,1.68,,3.01298E+11,55972,10.1,82.12949
Denmark,2015,male,15-24,18,374051,4.81,,3.01298E+11,55972,11.6,82.12949
Denmark,2015,female,25-54,66,1104244,5.976939879,,3.01298E+11,55972,6.1,82.12949
Denmark,2015,male,25-54,189,1126135,16.78306775,,3.01298E+11,55972,5.4,82.12949
Finland,2000,female,15-24,26,322489,8.06,0.857,1.2554E+11,25716,21.8,82.32955
Finland,2000,male,15-24,105,337152,31.14,0.857,1.2554E+11,25716,18.9,82.32955
Finland,2000,female,25-54,163,1106924,14.72549154,0.857,1.2554E+11,25716,8.8,82.32955
Finland,2000,male,25-54,558,1142592,48.83633003,0.857,1.2554E+11,25716,7.2,82.32955
Finland,2005,female,15-24,33,319226,10.34,0.869,2.04436E+11,41202,19.4,91.67952
Finland,2005,male,15-24,68,333948,20.36,0.869,2.04436E+11,41202,18.4,91.67952
Finland,2005,female,25-54,141,1057232,13.33671323,0.869,2.04436E+11,41202,7.3,91.67952
Finland,2005,male,25-54,398,1088758,36.55541452,0.869,2.04436E+11,41202,6.5,91.67952
Finland,2010,female,15-24,30,322681,9.3,0.878,2.478E+11,48939,18.9,93.44781
Finland,2010,male,15-24,105,336807,31.18,0.878,2.478E+11,48939,21.6,93.44781
Finland,2010,female,25-54,114,1034234,11.02265058,0.878,2.478E+11,48939,6.3,93.44781
Finland,2010,male,25-54,360,1070458,33.63046472,0.878,2.478E+11,48939,7.4,93.44781
Finland,2011,female,15-24,27,322992,8.36,0.881,2.73674E+11,53809,18.4,94.91993
Finland,2011,male,15-24,89,337265,26.39,0.881,2.73674E+11,53809,19.3,94.91993
Finland,2011,female,25-54,93,1029819,9.030713164,0.881,2.73674E+11,53809,5.5,94.91993
Finland,2011,male,25-54,364,1067106,34.11095055,0.881,2.73674E+11,53809,6.7,94.91993
Finland,2012,female,15-24,32,323218,9.9,0.882,2.56706E+11,50232,18,92.87735
Finland,2012,male,15-24,85,337342,25.2,0.882,2.56706E+11,50232,17.7,92.87735
Finland,2012,female,25-54,92,1026016,8.966721767,0.882,2.56706E+11,50232,5.7,92.87735
Finland,2012,male,25-54,326,1064387,30.62795769,0.882,2.56706E+11,50232,6.6,92.87735
Finland,2013,female,15-24,31,321757,9.63,0.882,2.6998E+11,52572,17.1,90.99419
Finland,2013,male,15-24,68,335688,20.26,0.882,2.6998E+11,52572,20.6,90.99419
Finland,2013,female,25-54,103,1024641,10.05230125,0.882,2.6998E+11,52572,6.4,90.99419
